soluzione,definizione
HACK,La Margherita astrofisica fiorentina
HADAD,Il dio della tempesta del Vicino Oriente
HADID,Architetta delle forme fluide
HAINAN,Isola tropicale della Cina
HAITI,Stato caraibico dell'isola Hispaniola
HAL,Nome proprio del computer di 2001 Odissea nello spazio
HALL,L'atrio d'ingresso di un albergo
HALLEY,Diede il nome a una cometa
HANDICAP,Lo svantaggio da compensare
HANDLING,La gestione e la movimentazione
HANGAR,Capannone per il ricovero degli aerei
HANK,Nome proprio del campione di baseball Aaron
HANOI,Capitale del Vietnam
HANS,Nome proprio del compositore di colonne sonore Zimmer
HANUMAN,Il dio scimmia della mitologia indù
HARARE,Capitale dello Zimbabwe
HARDCORE,Genere punk estremo e veloce
HARDWARE,Le componenti fisiche del computer
HAROLD,Nome proprio dell'attore comico Lloyd
HARRY,Nome proprio del maghetto creato dalla Rowling
HARVEY,Nome proprio dell'attore Keitel
HAUSA,Popolo e lingua dell'Africa occidentale
HAUTECOUTURE,L'alta moda alla francese
HAWKING,Lo Stephen dei buchi neri
HE,Simbolo chimico dell'elio
HEBRON,Antica città biblica dei patriarchi
HECTOR,Nome proprio del compositore Berlioz
HEGEL,Il Georg Wilhelm della Fenomenologia
HEIDI,Nome proprio della bimba delle Alpi dei cartoni
HEINRICH,Nome proprio del poeta tedesco Heine
HEISENBERG,Il Werner dell'indeterminazione
HELEN,Nome proprio dell'attrice Mirren
HELSINKI,Capitale finlandese sul Baltico
HEMINGWAY,L'Ernest del Vecchio e il mare
HENRY,Nome proprio del pioniere dell'automobile Ford
HERAT,Antica città dell'Afghanistan occidentale
HERBERT,Nome proprio del direttore d'orchestra von Karajan
HERMAN,Nome proprio dell'autore di Moby Dick Melville
HERSCHEL,Scopritore del pianeta Urano
HERTZ,L'unità di frequenza
HESSE,Autore di Siddharta
HF,Iniziali dell’attore Ford
HG,Iniziali di Wells
HIGHLIFE,Genere musicale dell'Africa occidentale
HILLARY,Nome proprio della politica americana Clinton
HIMALAYA,Catena dei tetti del mondo
HIROSHIMA,Città giapponese della bomba atomica
HITCHCOCK,Maestro del brivido inglese
HO,Simbolo chimico dell'olmio
HOBART,Capitale della Tasmania
HOBBY,Il passatempo preferito
HOCKEY,Sport con bastone e disco o pallina
HOKKAIDO,L'isola più settentrionale del Giappone
HOKUSAI,Maestro giapponese della grande onda
HOLBEIN,Ritrattista della corte inglese
HOLLY,Nome proprio dell'attrice Hunter
HOMER,"Omero in inglese, anche padre giallo televisivo"
HOMO,"Uomo, ma anche genere biologico"
HONSHU,La maggiore isola del Giappone
HOPPER,Pittore americano della solitudine urbana
HORA,Danza popolare in cerchio dei Balcani
HORMUZ,Stretto strategico del Golfo Persico
HOROLOGIUM,L'Orologio fra le costellazioni australi
HORUS,Il dio egizio dal capo di falco
HOSTESS,L'addetta all'accoglienza
HOUSE,Genere elettronico da club
HOWARD,Nome proprio dell'aviatore e magnate Hughes
HS,Iniziali del cantante Styles
HUE,Antica capitale imperiale del Vietnam
HUGH,Nome proprio dell'attore Grant
HUGO,Il Victor dei Miserabili
HUMMUS,Crema di ceci mediorientale
HUNTER,Nome proprio del giornalista Thompson
HUXLEY,Autore del Mondo nuovo
HYDRUS,L'Idra maschio dei cieli australi
