soluzione,definizione
KABUL,Capitale afghana
KAFKA,Il Franz della Metamorfosi
KAIRO,Capitale egiziana sul Nilo
KAKI,Frutto arancione che matura tardi
KALAHARI,Deserto dell'Africa australe
KALANCHOE,Pianta grassa dai fiorellini a mazzetto
KALI,La temibile dea indù della distruzione
KAMI,Le divinità della religione shintoista
KAMPALA,Capitale ugandese
KANDAHAR,Città del sud dell'Afghanistan
KANDINSKIJ,Il Vasilij dell'astrattismo
KANO,Città del nord della Nigeria
KANT,L'Immanuel della Critica della ragion pura
KAPPA,Lettera greca prestata a statistiche e marchi
KARACHI,La maggiore città del Pakistan
KARATE,Arte marziale dei colpi a mani nude
KAREN,Nome proprio della cantante Carpenter
KARL,Nome proprio del filosofo Marx
KARNAK,Grande complesso templare di Luxor
KATE,Nome proprio dell'attrice Winslet
KATHLEEN,Nome proprio dell'attrice Turner
KATHMANDU,Capitale nepalese
KATHRYN,Nome proprio della regista Bigelow
KATMANDU,Capitale nepalese ai piedi dell'Himalaya
KAWABATA,Scrittore giapponese premio Nobel
KAYAK,Canoa a pagaia doppia
KEITH,Nome proprio del chitarrista dei Rolling Stones Richards
KEN,Nome proprio del compagno di Barbie
KENDO,Scherma giapponese con spade di bambù
KENNETH,Nome proprio dell'attore e regista Branagh
KENYA,Paese africano di Nairobi e dei safari
KEPLERO,Scoprì le orbite ellittiche dei pianeti
KEROUAC,Autore di Sulla strada
KEVIN,Nome proprio dell'attore Costner
KHARTOUM,La capitale del Sudan
KHARTUM,Capitale sudanese alla confluenza dei Nili
KHIVA,Città-oasi dell'Uzbekistan
KHMER,Popolo della Cambogia
KIEV,Capitale ucraina sul Dnepr
KIGALI,Capitale ruandese
KILIMANGIARO,Vulcano africano innevato
KIM,Nome proprio dell'attrice Basinger
KIMCHI,Il cavolo fermentato e piccante coreano
KINGSTON,Capitale giamaicana
KINSHASA,Capitale congolese sul fiume Congo
KIRK,Nome proprio dell'attore Douglas
KIRSTEN,Nome proprio dell'attrice Dunst
KIT,Occorre prima di montare
KIWI,Uccello o frutto con lo stesso nome
KLAUS,Nome proprio dell'attore Kinski
KLEE,Pittore svizzero-tedesco dai segni poetici
KLEZMER,La musica festosa degli ebrei dell'Est
KNOCKOUT,L'atterramento decisivo nel pugilato
KNOT,Termine inglese per nodo marino
KNOWHOW,L'insieme delle competenze tecniche
KNUT,Nome proprio dello scrittore norvegese Hamsun
KOCH,Scopritore del bacillo della tubercolosi
KOKOSCHKA,Pittore espressionista austriaco
KOSOVO,Stato balcanico dalla vicenda recente
KR,Sigla automobilistica di Crotone
KRAKEN,Mostruoso polpo gigante delle leggende
KRAPFEN,Soffice frittella ripiena
KRISHNA,Avatara del dio Vishnu dalla pelle blu
KRISTEN,Nome proprio dell'attrice Stewart di Twilight
KUALALUMPUR,Capitale malese con torri celebri
KUBRICK,Regista di 2001 Odissea nello spazio
KUROSAWA,Regista giapponese dei Sette samurai
KURT,Nome proprio del leader dei Nirvana Cobain
KUWAIT,Emirato petrolifero sul Golfo Persico
KYLO,Nome proprio del Ren di Star Wars
KYOTO,Antica capitale giapponese dei templi
KYUSHU,Isola meridionale del Giappone
KLIMT,Il pittore austriaco del Bacio
KAHLO,La pittrice messicana Frida
KRAKATOA,Il vulcano indonesiano dell'eruzione del 1883
KEBAB,Carne allo spiedo della cucina turca
KISS,La band americana coi volti dipinti
KRATOS,Il guerriero spartano del videogioco God of War
KIRBY,La pallina rosa che risucchia dei videogiochi
KENDRICK,Il rapper Lamar premio Pulitzer
KANYE,"Il rapper e produttore di Chicago, West"
