soluzione,definizione
SA,Sigla automobilistica di Salerno
SABA,Poeta del Canzoniere triestino
SABBIA,Granelli di spiaggia
SABINI,Popolo italico delle origini di Roma
SABOTA,Forma verbale: Danneggiare di nascosto
SABOTAI,Passato remoto: Danneggiare di nascosto
SABOTO,Forma verbale: Danneggiare di nascosto
SABRINA,Nome proprio dell'attrice Ferilli
SACALINA,Isola russa a nord del Giappone
SACCENTE,Presuntuoso nel sapere
SACCENTI,"Presuntuoso nel sapere, al plurale"
SACCO,Contenitore di tela
SACELLO,Piccolo recinto sacro
SACRARIO,Luogo della memoria solenne
SACRESTIA,Il locale della chiesa per gli arredi sacri
SAETTA,Fulmine o freccia veloce
SAFFO,La poetessa di Lesbo
SAGA,Racconto lungo di stirpi e destini
SAGACE,Capisce prima di farsi spiegare
SAGACI,"Acuto nel capire, al plurale"
SAGAN,Il Carl divulgatore del cosmo
SAGGE,"Prudente e sapiente, al femminile plurale"
SAGGI,"Prudente e sapiente, al plurale"
SAGGIA,"Prudente e sapiente, al femminile"
SAGGIO,Scritto argomentativo o persona prudente
SAGITTA,"La Freccia, piccola costellazione boreale"
SAGITTARIO,Costellazione e segno dell'arciere
SAGOMA,Contorno riconoscibile senza dettagli
SAGRA,Festa di paese con profumo di cucina
SAGRESTANO,Si occupa della chiesa e degli arredi sacri
SAGRO,Lancio improperi
SAHARA,Il grande deserto africano
SAIGON,Antico nome di Ho Chi Minh City
SAIO,Veste ruvida da frate
SALA,"Ambiente ampio, da cinema o palazzo"
SALACE,Arguto e pungente
SALACI,"Arguto e pungente, al plurale"
SALACITA,Arguzia che scivola nel piccante
SALADINO,Il sultano che riconquistò Gerusalemme
SALAI,Passato remoto: Mettere sale
SALAMANDRA,Anfibio legato per mito al fuoco
SALAME,Insaccato e ingenuo in gergo
SALASSO,"Prelievo di sangue, anche economico"
SALATO,Participio: Mettere sale
SALDA,"Stabile e robusto, al femminile"
SALDAI,Passato remoto: Unire con metallo fuso
SALDATO,Participio: Unire con metallo fuso
SALDATORE,Unisce i metalli con il calore
SALDE,"Stabile e robusto, al femminile plurale"
SALDI,"Stabile e robusto, al plurale"
SALDO,Pagamento finale o sconto stagionale
SALE,Insaporisce e conserva
SALICE,Albero dai rami penduli
SALICORNIA,Pianta carnosa delle saline
SALIERA,Recipiente per il sale da tavola
SALINA,Isola delle Eolie a due monti
SALINGER,Autore del Giovane Holden
SALISCENDI,Il chiavistello che si alza e abbassa
SALLY,Nome proprio della prima astronauta americana Ride
SALMA,Corpo da cui la vita è assente
SALMASTRO,Lo è il sapore del mare
SALMERINO,Pesce d'acqua fredda da torrente
SALMO,Canto biblico numerato
SALMONE,Rosa tendente all'arancio
SALO,Forma verbale: Mettere sale
SALOME,Chiese la testa del Battista
SALOMONE,Il re famoso per la sua saggezza
SALONE,"Sala grande, spesso da esposizione"
SALONICCO,Grande città greca della Macedonia
SALOTTO,Stanza di conversazione e televisore
SALPA,Parte dal porto
SALPARE,Partire dal porto
SALPATO,Partito dal porto
SALPO,Parto dal porto
SALSA,Condimento e ritmo latino
SALSEDINE,Sale che resta sulla pelle dopo il mare
SALSIERA,Recipiente da tavola per le salse
