soluzione,definizione
DA,Iniziali del sommo poeta Alighieri
DA,"Lui elargisce, concede"
DA,Preposizione: arrivo...Roma
DACCA,Capitale del Bangladesh nella grafia italiana
DACI,Antico popolo della Romania
DADI,Cubetti da brodo o da gioco
DADO,Cubo da gioco o da brodo
DADO,Il cubetto che insaporisce il brodo
DADO,Il...è tratto: la frase di Cesare al Rubicone
DADOLATA,Taglio di verdure o frutta a piccoli cubi
DAENERYS,La madre dei draghi del Trono di Spade
DAFFY,Il papero nero dei Looney Tunes
DAFNE,La ninfa mutata in alloro
DAFTPUNK,Il duo francese elettronico coi caschi
DAGA,Corta spada da pugno
DAGHERROTIPO,Fotografia quando era quasi alchimia
DAGON,Antica divinità dei Filistei
DAI,Incitamento da panchina o da tavolo
DAI,"Tu doni, elargisci"
DAINI,Cervi maculati dei boschi
DAINO,Cervo dal mantello maculato
DAIQUIRI,Il cocktail cubano di rum e lime
DAITARN,"Il robottone dei cartoni, ...3"
DAKAR,Capitale senegalese sulla punta atlantica
DAKAR,La capitale del Senegal
DAKAR,La...: il rally nel deserto
DAL,Da più articolo in una sillaba
DAL,La zuppa di lenticchie della cucina indiana
DALE,Il nome del pilota Earnhardt
DALE,Lo scoiattolo Disney compagno di Chip
DALI,Il Salvador degli orologi molli
DALI,Pittore dei baffi e degli orologi molli
DALIA,Fiore estivo dai molti petali
DALILA,Taglio i capelli a Sansone
DALLA,Il Lucio di Caruso
DALLA,Preposizione articolata: esco...porta
DALLAS,La storica soap texana del petrolio
DALMATA,I 101... del classico Disney
DALMATA,Il cane bianco a macchie nere
DALMAZIA,Costa croata di isole e pietra chiara
DALTONISMO,Confusione nel distinguere i colori
DAMA,Gioco a pedine o signora d'altri tempi
DAMA,Gioco di pedine nere e bianche
DAMA,Il gioco con le pedine sulla scacchiera
DAMA,Nel gioco può diventare regina
DAMASCO,Capitale della Siria
DAMASCO,Città siriana citata per stoffe e acciaio
DAMASCO,Pregiato tessuto a fiori
DAMASO,Papa committente di san Girolamo
DAMIGIANA,Grande bottiglia impagliata
DAMIGIANA,Grosso recipiente di vetro impagliato
DAMIGIANE,Grossi recipienti impagliati per vino
DAMOCLE,Aveva una spada sospesa sul capo
DAMOCLE,La spada di...: minaccia incombente
DAMON,Il nome del corridore di Formula 1 Hill
DAN,Il grado della cintura nera
DAN,Il nome dell'attore Aykroyd
DANAE,La madre di Perseo
DANARO,Moneta o ricchezza disponibile
DANARO,"I soldi, in grafia letteraria"
DANIEL,Il nome dell'interprete di James Bond Craig
DANIELE,"Il nome di De Rossi, campione del mondo nel 2006"
DANIELLE,Il nome della scrittrice rosa Steel
DANIMARCA,Paese scandinavo della sirenetta
DANNATO,Senza speranza di salvezza
DANNATO,Malvagio da romanzo gotico
DANNAZIONE,Perdita eterna della salvezza
DANNEGGERA,Recherà un pregiudizio
DANNEGGIA,Compromette o rovina
DANNEGGIARE,Compromettere o rovinare
DANNEGGIARE,Ridurre il valore o l’efficienza
DANNEGGIARE,Recare un pregiudizio materiale
DANNEGGIATO,Compromesso da un guasto
DANNEGGIATO,Ha subito un pregiudizio
DANNEGGIATO,Guasto o compromesso
DANNEGGIO,Comprometto o rovino
DANNO,"Loro elargiscono, dal verbo dare"
DANNO,Perdita che può chiedere risarcimento
DANNO,Lesione fisica o patrimoniale
